"","grid","gridpoint","sol","new.td","density_spruce","group1","Density"
"262","WC","WC11",4.1,74.5,0.074641719,"(0.0249,0.229]","high"
"263","WC","WC11",4.3,83.4,0.074641719,"(0.0249,0.229]","high"
"264","WC","WC11",3.5,83.4,0.074641719,"(0.0249,0.229]","high"
"265","WC","WC11",6,77.4,0.074641719,"(0.0249,0.229]","high"
"266","WC","WC11",4.8,94.6,0.074641719,"(0.0249,0.229]","high"
"267","WC","WC11",4.5,68.4,0.074641719,"(0.0249,0.229]","high"
"268","WC","WC12",34.2,38.6,0.009952229,"(0,0.0249]","mid"
"269","WC","WC12",17.9,41.3,0.009952229,"(0,0.0249]","mid"
"270","WC","WC12",21.4,44.9,0.009952229,"(0,0.0249]","mid"
"271","WC","WC12",21.9,40.5,0.009952229,"(0,0.0249]","mid"
"272","WC","WC12",22,53.8,0.009952229,"(0,0.0249]","mid"
"273","WC","WC12",20.5,52.6,0.009952229,"(0,0.0249]","mid"
"274","WC","WC12",24.2,54.1,0.009952229,"(0,0.0249]","mid"
"275","WC","WC12",25.4,72.1,0.009952229,"(0,0.0249]","mid"
"276","WC","WC12",17.8,46.5,0.009952229,"(0,0.0249]","mid"
"277","WC","WC12",19.5,37.2,0.009952229,"(0,0.0249]","mid"
"278","WC","WC12",14.5,64.1,0.009952229,"(0,0.0249]","mid"
"279","WC","WC12",36.5,55.6,0.009952229,"(0,0.0249]","mid"
"280","WC","WC13",8,55.4,0.019904459,"(0,0.0249]","mid"
"281","WC","WC13",18.5,51.4,0.019904459,"(0,0.0249]","mid"
"282","WC","WC13",12.1,45.7,0.019904459,"(0,0.0249]","mid"
"283","WC","WC13",3.6,60.3,0.019904459,"(0,0.0249]","mid"
"284","WC","WC13",8.5,69.6,0.019904459,"(0,0.0249]","mid"
"285","WC","WC13",13.5,55.7,0.019904459,"(0,0.0249]","mid"
"286","WC","WC13",18,42.4,0.019904459,"(0,0.0249]","mid"
"287","WC","WC13",13.5,44.1,0.019904459,"(0,0.0249]","mid"
"288","WC","WC13",8.8,66,0.019904459,"(0,0.0249]","mid"
"289","WC","WC13",14,42.6,0.019904459,"(0,0.0249]","mid"
"290","WC","WC13",30,44.5,0.019904459,"(0,0.0249]","mid"
"291","WC","WC14",11,93.4,0.044785032,"(0.0249,0.229]","high"
"292","WC","WC14",10.3,71.3,0.044785032,"(0.0249,0.229]","high"
"293","WC","WC14",10,86.7,0.044785032,"(0.0249,0.229]","high"
"294","WC","WC14",4.8,80.3,0.044785032,"(0.0249,0.229]","high"
"295","WC","WC14",11.5,84.4,0.044785032,"(0.0249,0.229]","high"
"296","WC","WC14",7.1,81.4,0.044785032,"(0.0249,0.229]","high"
"297","WC","WC14",14.1,80.3,0.044785032,"(0.0249,0.229]","high"
"298","WC","WC14",10.4,75.2,0.044785032,"(0.0249,0.229]","high"
"299","WC","WC14",17.5,91.6,0.044785032,"(0.0249,0.229]","high"
"300","WC","WC14",9.2,71.4,0.044785032,"(0.0249,0.229]","high"
"301","WC","WC14",5.8,81.9,0.044785032,"(0.0249,0.229]","high"
"302","WC","WC14",12,84.9,0.044785032,"(0.0249,0.229]","high"
"303","WC","WC15",23.4,53.7,0,"0","low"
"304","WC","WC15",23.5,55.4,0,"0","low"
"305","WC","WC15",10.5,70.6,0,"0","low"
"306","WC","WC15",17.1,60.8,0,"0","low"
"307","WC","WC15",15.1,52.2,0,"0","low"
"308","WC","WC15",27.5,51.1,0,"0","low"
"309","WC","WC15",4.9,57.1,0,"0","low"
"310","WC","WC15",30.1,43.5,0,"0","low"
"311","WC","WC15",19.8,55.1,0,"0","low"
"312","WC","WC15",18.1,61.6,0,"0","low"
"313","WC","WC16",1.5,100.5,0,"0","low"
"314","WC","WC16",7.8,77.3,0,"0","low"
"315","WC","WC16",6.3,64.5,0,"0","low"
"316","WC","WC16",7.5,86.4,0,"0","low"
"317","WC","WC16",16,60.1,0,"0","low"
"318","WC","WC16",6,96.5,0,"0","low"
"319","WC","WC16",15.5,55.6,0,"0","low"
"320","WC","WC16",8.9,80.9,0,"0","low"
"321","WC","WC16",9.1,56.8,0,"0","low"
"322","WC","WC16",5,34.4,0,"0","low"
"323","WC","WC16",7,90.2,0,"0","low"
"324","WC","WC16",5,102.9,0,"0","low"
"325","WC","WC17",28.5,70,0.044785032,"(0.0249,0.229]","high"
"326","WC","WC17",5.5,88.5,0.044785032,"(0.0249,0.229]","high"
"327","WC","WC17",3,82,0.044785032,"(0.0249,0.229]","high"
"328","WC","WC17",1.5,99,0.044785032,"(0.0249,0.229]","high"
"329","WC","WC17",11,69.5,0.044785032,"(0.0249,0.229]","high"
"330","WC","WC17",16.5,68,0.044785032,"(0.0249,0.229]","high"
"331","WC","WC17",14.5,58,0.044785032,"(0.0249,0.229]","high"
"332","WC","WC17",17,57,0.044785032,"(0.0249,0.229]","high"
"333","WC","WC17",22.5,69,0.044785032,"(0.0249,0.229]","high"
"334","WC","WC17",3,104.5,0.044785032,"(0.0249,0.229]","high"
"335","WC","WC17",1,89,0.044785032,"(0.0249,0.229]","high"
"336","WC","WC17",4.5,94.5,0.044785032,"(0.0249,0.229]","high"
"337","WC","WC18",7.5,82.9,0.029856688,"(0.0249,0.229]","high"
"338","WC","WC18",8,61,0.029856688,"(0.0249,0.229]","high"
"339","WC","WC18",9.9,66,0.029856688,"(0.0249,0.229]","high"
"340","WC","WC18",7,79.1,0.029856688,"(0.0249,0.229]","high"
"341","WC","WC18",20.5,50,0.029856688,"(0.0249,0.229]","high"
"342","WC","WC18",14.1,50.9,0.029856688,"(0.0249,0.229]","high"
"343","WC","WC18",12.1,64.5,0.029856688,"(0.0249,0.229]","high"
"344","WC","WC18",13,44.9,0.029856688,"(0.0249,0.229]","high"
"345","WC","WC18",9.6,62.8,0.029856688,"(0.0249,0.229]","high"
"346","WC","WC18",9.6,89.3,0.029856688,"(0.0249,0.229]","high"
"347","WC","WC18",7.1,46.7,0.029856688,"(0.0249,0.229]","high"
"348","WC","WC18",15.3,75.8,0.029856688,"(0.0249,0.229]","high"
"349","WC","WC19",9.1,56.4,0.228901274,"(0.0249,0.229]","high"
"350","WC","WC19",7.4,105.7,0.228901274,"(0.0249,0.229]","high"
"351","WC","WC19",7,42.3,0.228901274,"(0.0249,0.229]","high"
"352","WC","WC19",9.2,130,0.228901274,"(0.0249,0.229]","high"
"353","WC","WC19",6.9,29.1,0.228901274,"(0.0249,0.229]","high"
"354","WC","WC19",26,130,0.228901274,"(0.0249,0.229]","high"
"355","WC","WC19",5,82.6,0.228901274,"(0.0249,0.229]","high"
"356","WC","WC19",6.5,66.5,0.228901274,"(0.0249,0.229]","high"
"357","WC","WC19",9.1,130,0.228901274,"(0.0249,0.229]","high"
"358","WC","WC19",2.1,64,0.228901274,"(0.0249,0.229]","high"
"359","WC","WC19",4.2,38.5,0.228901274,"(0.0249,0.229]","high"
"360","WC","WC2",28,55,0,"0","low"
"361","WC","WC2",28.5,49,0,"0","low"
"362","WC","WC2",26,38,0,"0","low"
"363","WC","WC2",30.5,37.5,0,"0","low"
"364","WC","WC2",34,46.5,0,"0","low"
"365","WC","WC2",28.5,37,0,"0","low"
"366","WC","WC2",35.5,50,0,"0","low"
"367","WC","WC20",2.1,12,0.079617835,"(0.0249,0.229]","high"
"368","WC","WC20",4.5,17,0.079617835,"(0.0249,0.229]","high"
"369","WC","WC20",3.1,19.9,0.079617835,"(0.0249,0.229]","high"
"370","WC","WC20",2.6,33.1,0.079617835,"(0.0249,0.229]","high"
"371","WC","WC20",7,27.7,0.079617835,"(0.0249,0.229]","high"
"372","WC","WC20",4,56.1,0.079617835,"(0.0249,0.229]","high"
"373","WC","WC20",4.9,23.4,0.079617835,"(0.0249,0.229]","high"
"374","WC","WC20",5,19.1,0.079617835,"(0.0249,0.229]","high"
"375","WC","WC20",6.2,31.1,0.079617835,"(0.0249,0.229]","high"
"376","WC","WC20",4.5,30.9,0.079617835,"(0.0249,0.229]","high"
"377","WC","WC20",2.9,28.6,0.079617835,"(0.0249,0.229]","high"
"378","WC","WC20",4,19.6,0.079617835,"(0.0249,0.229]","high"
"379","WC","WC21",10.5,78,0.204020701,"(0.0249,0.229]","high"
"380","WC","WC21",9,72,0.204020701,"(0.0249,0.229]","high"
"381","WC","WC21",5,91,0.204020701,"(0.0249,0.229]","high"
"382","WC","WC21",18,44,0.204020701,"(0.0249,0.229]","high"
"383","WC","WC21",7.5,69,0.204020701,"(0.0249,0.229]","high"
"384","WC","WC21",7,93.5,0.204020701,"(0.0249,0.229]","high"
"385","WC","WC21",12.5,46.5,0.204020701,"(0.0249,0.229]","high"
"386","WC","WC21",11,83,0.204020701,"(0.0249,0.229]","high"
"387","WC","WC21",16.5,84.5,0.204020701,"(0.0249,0.229]","high"
"388","WC","WC21",27.5,59,0.204020701,"(0.0249,0.229]","high"
"389","WC","WC21",10.5,88,0.204020701,"(0.0249,0.229]","high"
"390","WC","WC21",6.5,112,0.204020701,"(0.0249,0.229]","high"
"391","WC","WC22",11,78.5,0.189092357,"(0.0249,0.229]","high"
"392","WC","WC22",37.5,53,0.189092357,"(0.0249,0.229]","high"
"393","WC","WC22",24.5,59,0.189092357,"(0.0249,0.229]","high"
"394","WC","WC22",7,42.5,0.189092357,"(0.0249,0.229]","high"
"395","WC","WC22",29,54,0.189092357,"(0.0249,0.229]","high"
"396","WC","WC22",8.5,58,0.189092357,"(0.0249,0.229]","high"
"397","WC","WC22",7.5,48,0.189092357,"(0.0249,0.229]","high"
"398","WC","WC22",5,63,0.189092357,"(0.0249,0.229]","high"
"399","WC","WC22",8.5,62,0.189092357,"(0.0249,0.229]","high"
"400","WC","WC22",4,73.5,0.189092357,"(0.0249,0.229]","high"
"401","WC","WC22",9,80,0.189092357,"(0.0249,0.229]","high"
"402","WC","WC22",14,63.5,0.189092357,"(0.0249,0.229]","high"
"403","WC","WC24",3.4,120,0.024880573,"(0,0.0249]","mid"
"404","WC","WC24",4.5,120,0.024880573,"(0,0.0249]","mid"
"405","WC","WC24",17.9,63.9,0.024880573,"(0,0.0249]","mid"
"406","WC","WC24",4.9,130,0.024880573,"(0,0.0249]","mid"
"407","WC","WC24",13.5,98.5,0.024880573,"(0,0.0249]","mid"
"408","WC","WC24",9.9,120,0.024880573,"(0,0.0249]","mid"
"409","WC","WC24",6.6,104,0.024880573,"(0,0.0249]","mid"
"410","WC","WC24",21.5,82.4,0.024880573,"(0,0.0249]","mid"
"411","WC","WC24",11.5,98.9,0.024880573,"(0,0.0249]","mid"
"412","WC","WC24",10.5,84.6,0.024880573,"(0,0.0249]","mid"
"413","WC","WC24",27.1,28.5,0.024880573,"(0,0.0249]","mid"
"414","WC","WC4",2.5,101,0.009952229,"(0,0.0249]","mid"
"415","WC","WC4",4,106,0.009952229,"(0,0.0249]","mid"
"416","WC","WC4",5.5,63.5,0.009952229,"(0,0.0249]","mid"
"417","WC","WC4",15,60.5,0.009952229,"(0,0.0249]","mid"
"418","WC","WC4",5,69,0.009952229,"(0,0.0249]","mid"
"419","WC","WC4",17,53,0.009952229,"(0,0.0249]","mid"
"420","WC","WC4",9,68,0.009952229,"(0,0.0249]","mid"
"421","WC","WC4",9,77,0.009952229,"(0,0.0249]","mid"
"422","WC","WC4",0.5,84,0.009952229,"(0,0.0249]","mid"
"423","WC","WC4",16.5,83,0.009952229,"(0,0.0249]","mid"
"424","WC","WC4",12,83,0.009952229,"(0,0.0249]","mid"
"425","WC","WC4",2.5,79,0.009952229,"(0,0.0249]","mid"
"426","WC","WC5",33.5,22.5,0,"0","low"
"427","WC","WC5",51,52,0,"0","low"
"428","WC","WC6",4.8,71.1,0.029856688,"(0.0249,0.229]","high"
"429","WC","WC6",6.4,76.7,0.029856688,"(0.0249,0.229]","high"
"430","WC","WC6",8.6,74.1,0.029856688,"(0.0249,0.229]","high"
"431","WC","WC6",17,51.5,0.029856688,"(0.0249,0.229]","high"
"432","WC","WC6",27.5,61.6,0.029856688,"(0.0249,0.229]","high"
"433","WC","WC6",7.1,66.7,0.029856688,"(0.0249,0.229]","high"
"434","WC","WC6",8,79.4,0.029856688,"(0.0249,0.229]","high"
"435","WC","WC6",11,44.7,0.029856688,"(0.0249,0.229]","high"
"436","WC","WC6",4.3,66.4,0.029856688,"(0.0249,0.229]","high"
"437","WC","WC6",12.5,57.6,0.029856688,"(0.0249,0.229]","high"
"438","WC","WC6",25.4,51.9,0.029856688,"(0.0249,0.229]","high"
"439","WC","WC6",9.2,75.9,0.029856688,"(0.0249,0.229]","high"
"440","WC","WC7",35,54.5,0,"0","low"
"441","WC","WC7",38,31,0,"0","low"
"442","WC","WC7",35,35.6,0,"0","low"
"443","WC","WC7",23.5,38.5,0,"0","low"
"444","WC","WC7",36.5,37.5,0,"0","low"
"445","WC","WC7",25,31,0,"0","low"
"446","WC","WC7",29.1,46.4,0,"0","low"
"447","WC","WC8",4,82.5,0.094546178,"(0.0249,0.229]","high"
"448","WC","WC8",3,79,0.094546178,"(0.0249,0.229]","high"
"449","WC","WC8",9,78,0.094546178,"(0.0249,0.229]","high"
"450","WC","WC8",6,98,0.094546178,"(0.0249,0.229]","high"
"451","WC","WC8",2.5,110,0.094546178,"(0.0249,0.229]","high"
