"","gridpoint","X.1","X","grid","site","burn.year","p.slope","p.aspect.corrected","p.elevation","p.equivalent.latitude","p.aspect.off.180","org.depth","moisture","elevation","latitude","longitude","aspect","slope","bulk.dens","count_betneo","count_betpap","count_larlar","count_picgla","count_picmar","count_poptre","count_salix","count_unknown","count_ALL","count_spruce","density_ALL","density_spruce","density_betneo","density_betpap","density_larlar","density_picgla","density_picmar","density_poptre","density_salix","density_unknown","ba.betneo","ba.betpap","ba.larlar","ba.picgla","ba.picmar","ba.poptre","ba.salix","ba.unknown","thaw.d","sol","mean.org.tot","mean.thaw.d","mean.ar","mean.tus","picmar.seedling","picgla.seedling","spruce.seedling","betneo.seedling","picmar.sdlng.dens","picgla.sdlng.dens","spruce.seedlng.dens","betneo.sdln.dens","tus.height.adj","ar.height.adj","burn.depth","picgla.change","picmar.change","burn.year1","total.bio","total.bio.cons","tree.bio.m2","tree.bio.carbon.m2","tree.bio.cons.m2","tree.carbon.cons.m2","betneo_total.spec.bio","betneo_total.spec.bio.cons","betneo_tree.spec.bio.m2","betneo_tree.spec.bio.carbon.m2","betneo_tree.spec.bio.cons.m2","betneo_tree.spec.carbon.cons.m2","betpap_total.spec.bio","betpap_total.spec.bio.cons","betpap_tree.spec.bio.m2","betpap_tree.spec.bio.carbon.m2","betpap_tree.spec.bio.cons.m2","betpap_tree.spec.carbon.cons.m2","larlar_total.spec.bio","larlar_total.spec.bio.cons","larlar_tree.spec.bio.m2","larlar_tree.spec.bio.carbon.m2","larlar_tree.spec.bio.cons.m2","larlar_tree.spec.carbon.cons.m2","picgla_total.spec.bio","picgla_total.spec.bio.cons","picgla_tree.spec.bio.m2","picgla_tree.spec.bio.carbon.m2","picgla_tree.spec.bio.cons.m2","picgla_tree.spec.carbon.cons.m2","picmar_total.spec.bio","picmar_total.spec.bio.cons","picmar_tree.spec.bio.m2","picmar_tree.spec.bio.carbon.m2","picmar_tree.spec.bio.cons.m2","picmar_tree.spec.carbon.cons.m2","poptre_total.spec.bio","poptre_total.spec.bio.cons","poptre_tree.spec.bio.m2","poptre_tree.spec.bio.carbon.m2","poptre_tree.spec.bio.cons.m2","poptre_tree.spec.carbon.cons.m2","salix_total.spec.bio","salix_total.spec.bio.cons","salix_tree.spec.bio.m2","salix_tree.spec.bio.carbon.m2","salix_tree.spec.bio.cons.m2","salix_tree.spec.carbon.cons.m2","unknown_total.spec.bio","unknown_total.spec.bio.cons","unknown_tree.spec.bio.m2","unknown_tree.spec.bio.carbon.m2","unknown_tree.spec.bio.cons.m2","unknown_tree.spec.carbon.cons.m2","bd.tot","bd.fine","burn.depth_good","burn.D"
"1","BC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.404285714,NA
"2","ET1",4,41,"ET",1,"2013",5,297,599,65.65470653,117,18.98,"mesic-subhygric",599,63.766608,-150.189488,NA,NA,0.150522005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1375,16.3,18.975,36.05,NA,24.01833333,0,0,0,0,0,0,0,0,12.50915333,NA,12.50915333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150522005,0.111722544,12.5091533325,12.5091533325
"3","ET10",5,42,"ET",10,"2013",3,26,569,66.43428686,154,18.9,"mesic-subhygric",569,63.77204,-150.229545,NA,NA,0.12292131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.725,25.2625,20.5,28.025,7.833333333,19.85666667,0,0,0,0,0,0,0,0,8.347486667,9.823333333,9.08541,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12292131,0.108789434,8.442281666,8.442281666
"4","ET11",6,43,"ET",11,"2013",0,61,560,64.01452854,119,13.5,"subhygric",560,63.775544,-150.188294,NA,NA,0.169051466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.225,21.4125,13.75,36.8,NA,22.68,0,0,0,0,0,0,0,0,11.17082,NA,11.17082,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169051466,0.134182932,11.1708200015,11.1708200015
"5","ET12",7,44,"ET",12,"2013",0,92,567,63.75394102,88,39.83,"subhygric",567,63.775811,-150.198528,NA,NA,0.122373809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.8125,45.8125,37.125,37.125,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122373809,0.092692358,NA,NA
"6","ET13",8,45,"ET",13,"2013",0,221,555,63.39676482,41,19.93,"subhygric",555,63.775999,-150.208747,NA,NA,0.117352031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,28.85,18.125,35.225,10.26666667,20.39208333,0,0,0,0,0,0,0,0,8.853977895,12.45666667,10.65532228,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117352032,0.093402227,9.260925835,9.260925835
"7","ET14",9,46,"ET",14,"2013",3,263,547,63.25626976,83,8.55,"mesic-subhygric",547,63.776338,-150.218773,NA,NA,0.113930852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6875,25.8875,8.55,44.925,5.613333333,21.52333333,0,0,0,0,0,0,0,0,10.01415333,7.803333333,8.908743333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113930852,0.088736765,10.13071749925,10.13071749925
"8","ET15",10,47,"ET",15,"2013",3,307,551,65.47294054,127,17.75,"mesic",551,63.776502,-150.229061,NA,NA,0.131715611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.3,29.775,16.625,38.3,NA,19.06166667,0,1,1,0,0,0.0625,0.0625,0,7.552486667,NA,7.552486667,0.0625,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131715611,0.103693765,7.5524866665,7.5524866665
"9","ET16",11,48,"ET",16,"2013",2,8,545,65.75902604,172,14.18,"subhygric",545,63.779975,-150.187853,NA,NA,0.157714835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.2,17.425,14.175,43.45,NA,25.22333333,0,0,0,0,0,0,0,0,13.71415333,NA,13.71415333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157714835,0.13641475,13.7141533315,13.7141533315
"10","ET17",12,49,"ET",17,"2013",4,50,579,66.16764103,130,22,"mesic-subhygric",579,63.78031,-150.1979,NA,NA,0.123117507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.75,21.65,22,36,NA,16.85666667,0,0,0,0,0,0,0,0,5.347486667,NA,5.347486667,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123117507,0.099470859,5.34748666675,5.34748666675
"11","ET18",13,50,"ET",18,"2013",5,341,571,68.4508414,161,19.28,"mesic-subhygric",571,63.780498,-150.208054,NA,NA,0.104884262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.675,27.325,22.725,38.575,NA,23.88,0,0,0,0,0,0,0,0,12.37082,NA,12.37082,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104884262,0.073502192,12.3708200025,12.3708200025
"12","ET19",14,38,"ET",19,"2013",4,246,540,61.93198906,66,17.73,"mesic-subhygric",540,63.780777,-150.218232,NA,NA,0.151758872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.8625,18.625,17.7,47.725,12.3,26.96166667,0,0,0,0,0,0,0,0,15.45248667,14.49,14.97124333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151758872,0.087572629,15.589884165,15.589884165
"13","ET2",15,39,"ET",2,"2013",4,243,606,61.74129805,63,12.6,"mesic-subhygric",606,63.76679,-150.199577,NA,NA,0.144657221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.4375,9.8375,10.35,43.25,7.9,20.3,0,0,0,0,0,0,0,0,8.79082,8.454,8.62241,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144657221,0.098850458,8.8281791025,8.8281791025
"14","ET20",16,40,"ET",20,"2013",2,332,536,65.53015893,152,15.15,"mesic-subhygric",536,63.781013,-150.228378,NA,NA,0.104149222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.475,24.225,17.65,37.95,NA,23.97333333,0,0,0,0,0,0,0,0,12.46415333,NA,12.46415333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104149223,0.071422604,12.4641533325,12.4641533325
"15","ET21",17,54,"ET",21,"2013",1,108,533,63.45966613,72,21.53,"subhygric",533,63.784521,-150.187228,NA,NA,0.122126648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.325,13.05,16.15,33.43333333,NA,27.04222222,0,0,0,0,0,0,0,0,15.53304222,NA,15.53304222,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122126648,0.076029473,15.5330422233333,15.5330422233333
"16","ET22",18,4,"ET",22,"2013",8,75,555,64.73213312,105,9.68,"mesic",555,63.784784,-150.197436,NA,NA,0.088186616,9,0,0,4,16,0,0,0,29,20,0.144307325,0.099522293,0.044785032,0,0,0.019904459,0.079617834,0,0,0,0.544945014,0,0,0.115185347,0.981392837,0,0,0,54.875,16.3125,9.675,46.125,6.192307692,14.36666667,0,0,0,0,0,0,0,0,2.857486667,8.382307692,5.619897179,-0.019904459,-0.079617834,"burn",95.98297527,29.51926276,0.477379989,0.238689994,0.146816717,0.245993856,30.4222117,4.406295535,0.151307615,0.075653808,0.021915108,0.036719129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.033381886,3.87837657,0.030007569,0.015003785,0.019289456,0.032319805,59.52738169,21.23459065,0.296064804,0.148032402,0.105612153,0.176954922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088186616,0.05321583,5.6198971795,5.6198971795
"17","ET23",19,5,"ET",23,"2013",6,263,551,62.44917638,83,16,"mesic-subhygric",551,63.785005,-150.207408,NA,NA,0.128750794,0,0,0,1,0,0,0,0,1,1,0.004976115,0.004976115,0,0,0,0.004976115,0,0,0,0,0,0,0,0.005627853,0,0,0,0,41.6875,24.8125,12,44,NA,18.925,1,0,1,1,0.0625,0,0.0625,0.0625,7.41582,NA,7.41582,-0.004976115,0.0625,"burn",0.325648743,0.20919448,0.001619643,0.000809822,0.001040448,0.001743287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.325648743,0.20919448,0.001619643,0.000809822,0.001040448,0.001743287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.128750794,0.091460645,7.41582,7.41582
"18","ET24",20,6,"ET",24,"2013",2,324,533,65.37718114,144,24.5,"mesic-subhygric",533,63.785244,-150.217615,NA,NA,0.118404656,0,0,0,0,5,0,0,0,5,5,0.024880573,0.024880573,0,0,0,0,0.024880573,0,0,0,0,0,0,0,0.027244671,0,0,0,32.75,32.75,32,32,8.107142857,15.56666667,0,0,0,1,0,0,0,0.0625,4.057486667,9.451363636,6.754425152,0,-0.024880573,"burn",1.668135677,0.372499948,0.008296623,0.004148312,0.001852662,0.003104166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.668135677,0.372499948,0.008296623,0.004148312,0.001852662,0.003104166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118404656,0.087132642,8.430216032,8.430216032
"19","ET25",21,7,"ET",25,"2013",0,297,528,64.00892606,117,22.33,"mesic-subhygric",528,63.785479,-150.2278,NA,NA,0.10830069,0,0,0,21,5,0,0,0,26,26,0.129378981,0.129378981,0,0,0,0.104498408,0.024880573,0,0,0,0,0,0,1.004284911,0.907019977,0,0,0,38.8125,30.5625,25.375,35.375,5.538461538,17.50416667,0,4,4,0,0,0.25,0.25,0,6.113627018,7.23,6.671813509,0.145501592,-0.024880573,"burn",113.4139378,30.27142991,0.564074454,0.282037227,0.150557688,0.252261916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.7985428,18.9124377,0.272545497,0.136272749,0.094062715,0.157603648,58.61539498,11.35899221,0.291528956,0.145764478,0.056494973,0.094658268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10830069,0.080358173,6.6086105495,6.6086105495
"20","ET3",25,8,"ET",3,"2013",3,117,605,62.28519678,63,10.75,"mesic",605,63.767167,-150.209769,NA,NA,0.150667436,0,0,0,1,0,0,0,0,1,1,0.004976115,0.004976115,0,0,0,0.004976115,0,0,0,0,0,0,0,0.019261327,0,0,0,0,44.125,16.6125,10.75,45.95,NA,19.34,0,0,0,0,0,0,0,0,7.83082,NA,7.83082,-0.004976115,0,"burn",1.01792323,0.515811648,0.005062733,0.002531367,0.002565436,0.00429843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01792323,0.515811648,0.005062733,0.002531367,0.002565436,0.00429843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150667436,0.119444751,7.83081999975,7.83081999975
"21","ET4",26,9,"ET",4,"2013",2,278,585,63.97562679,98,33.58,"mesic-subhygric",585,63.767399,-150.22007,NA,NA,0.10161724,2,0,0,16,0,0,0,0,18,16,0.089570064,0.079617834,0.009952229,0,0,0.079617834,0,0,0,0,0.048487863,0,0,0.874236169,0,0,0,0,36.975,36.975,33.575,33.575,5.193333333,15.725,0,3,3,7,0,0.1875,0.1875,0.4375,4.21582,6.50754386,5.36168193,0.107882166,0,"burn",50.88765127,15.67803487,0.253094325,0.126547163,0.077976121,0.130650291,2.184029148,0.483161687,0.010862466,0.005431233,0.002403048,0.004026347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.70362212,15.19487319,0.242231859,0.12111593,0.075573073,0.126623943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10161724,0.063614585,5.354649927,5.354649927
"22","ET5",27,10,"ET",5,"2013",1,351,573,64.75483005,171,18.13,"mesic-subhygric",573,63.767592,-150.230188,NA,NA,0.184671966,0,0,0,4,0,0,0,0,4,4,0.019904459,0.019904459,0,0,0,0.019904459,0,0,0,0,0,0,0,0.477232171,0,0,0,0,34.15,28.0875,18,44.125,7.333333333,19.04666667,0,0,0,0,0,0,0,0,7.537486667,7.109148936,7.323317801,-0.019904459,0,"burn",26.73901718,7.243572851,0.132988915,0.066494457,0.036026563,0.060363107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.73901718,7.243572851,0.132988915,0.066494457,0.036026563,0.060363107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.184671966,0.143885562,7.355157475,7.355157475
"23","ET6",28,52,"ET",6,"2013",3,245,577,62.37862518,65,26.03,"mesic-subhygric",577,63.771071,-150.188968,NA,NA,0.212671169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8875,20.5375,26.025,37.15,13.2,24.81333333,0,0,0,0,0,0,0,0,13.30415333,15.39,14.34707667,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212671169,0.168066255,13.7523841675,13.7523841675
"24","ET7",29,53,"ET",7,"2013",4,307,590,65.98030799,127,22.63,"mesic-subhygric",590,63.771321,-150.199008,NA,NA,0.123411252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.65,26.9875,24.8,35.025,NA,18.59333333,0,0,0,0,0,0,0,0,7.084153333,NA,7.084153333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123411252,0.088442442,7.08415333325,7.08415333325
"25","ET8",30,66,"ET",8,"2013",2,19,580,65.6545224,161,25.8,"mesic-subhygric",580,63.771579,-150.209292,NA,NA,0.105555861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.675,22.25,25.8,33.825,NA,18.345,0,0,0,0,0,0,0,0,6.83582,NA,6.83582,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105555861,0.065030691,6.83582,6.83582
"26","ET9",31,55,"ET",9,"2013",2,1,562,65.7714864,179,24.85,"mesic-subhygric",562,63.771814,-150.219371,NA,NA,0.087089626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.7875,18.5875,24.925,33.175,16.3875,20.65333333,0,0,0,0,0,0,0,0,9.144153333,10.57571429,9.85993381,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.087089626,0.060304517,10.1088441665,10.1088441665
"27","FC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15777440475,NA
"28","FC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.86554666633333,NA
"29","FC3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15748666666667,NA
