"","gridpoint","X.1","X","grid","site","burn.year","p.slope","p.aspect.corrected","p.elevation","p.equivalent.latitude","p.aspect.off.180","org.depth","moisture","elevation","latitude","longitude","aspect","slope","bulk.dens","count_betneo","count_betpap","count_larlar","count_picgla","count_picmar","count_poptre","count_salix","count_unknown","count_ALL","count_spruce","density_ALL","density_spruce","density_betneo","density_betpap","density_larlar","density_picgla","density_picmar","density_poptre","density_salix","density_unknown","ba.betneo","ba.betpap","ba.larlar","ba.picgla","ba.picmar","ba.poptre","ba.salix","ba.unknown","thaw.d","sol","mean.org.tot","mean.thaw.d","mean.ar","mean.tus","picmar.seedling","picgla.seedling","spruce.seedling","betneo.seedling","picmar.sdlng.dens","picgla.sdlng.dens","spruce.seedlng.dens","betneo.sdln.dens","tus.height.adj","ar.height.adj","burn.depth","picgla.change","picmar.change","burn.year1","total.bio","total.bio.cons","tree.bio.m2","tree.bio.carbon.m2","tree.bio.cons.m2","tree.carbon.cons.m2","betneo_total.spec.bio","betneo_total.spec.bio.cons","betneo_tree.spec.bio.m2","betneo_tree.spec.bio.carbon.m2","betneo_tree.spec.bio.cons.m2","betneo_tree.spec.carbon.cons.m2","betpap_total.spec.bio","betpap_total.spec.bio.cons","betpap_tree.spec.bio.m2","betpap_tree.spec.bio.carbon.m2","betpap_tree.spec.bio.cons.m2","betpap_tree.spec.carbon.cons.m2","larlar_total.spec.bio","larlar_total.spec.bio.cons","larlar_tree.spec.bio.m2","larlar_tree.spec.bio.carbon.m2","larlar_tree.spec.bio.cons.m2","larlar_tree.spec.carbon.cons.m2","picgla_total.spec.bio","picgla_total.spec.bio.cons","picgla_tree.spec.bio.m2","picgla_tree.spec.bio.carbon.m2","picgla_tree.spec.bio.cons.m2","picgla_tree.spec.carbon.cons.m2","picmar_total.spec.bio","picmar_total.spec.bio.cons","picmar_tree.spec.bio.m2","picmar_tree.spec.bio.carbon.m2","picmar_tree.spec.bio.cons.m2","picmar_tree.spec.carbon.cons.m2","poptre_total.spec.bio","poptre_total.spec.bio.cons","poptre_tree.spec.bio.m2","poptre_tree.spec.bio.carbon.m2","poptre_tree.spec.bio.cons.m2","poptre_tree.spec.carbon.cons.m2","salix_total.spec.bio","salix_total.spec.bio.cons","salix_tree.spec.bio.m2","salix_tree.spec.bio.carbon.m2","salix_tree.spec.bio.cons.m2","salix_tree.spec.carbon.cons.m2","unknown_total.spec.bio","unknown_total.spec.bio.cons","unknown_tree.spec.bio.m2","unknown_tree.spec.bio.carbon.m2","unknown_tree.spec.bio.cons.m2","unknown_tree.spec.carbon.cons.m2","bd.tot","bd.fine","burn.depth_good","burn.D"
"40","WC16",54,71,"WC",16,"2013",4,103,472,62.70969544,77,8,"mesic-subhygric",472,63.869435,-150.176143,NA,NA,0.19697345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.525,7.95,8,73.475,12.67333333,24.00833333,0,0,0,0,0,0,0,0,12.49915333,14.86333333,13.68124333,0,0,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.1207175,13.1207175
"41","WC17",55,24,"WC",17,"2013",4,73,485,64.76803232,107,7,"mesic",485,63.869615,-150.186343,NA,NA,0.211751707,0,0,0,0,9,0,0,0,9,9,0.044785032,0.044785032,0,0,0,0,0.044785032,0,0,0,0,0,0,0,0.69187497,0,0,0,75.5,12.875,6.375,86.25,9.8,23.16190476,1,0,1,0,0.0625,0,0.0625,0,11.90924105,9.971578947,10.94041,0,0.017714968,"burn",42.23489111,10.68890585,0.210059042,0.105029521,0.053162238,0.089074215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.23489111,10.68890585,0.210059042,0.105029521,0.053162238,0.089074215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211751707,0.171615859,10.3917492875,10.3917492875
"42","WC18",56,25,"WC",18,"2013",2,157,503,62.01871112,23,8.88,"mesic-subhygric",503,63.869865,-150.196363,NA,NA,0.144927344,1,0,0,0,6,0,0,0,7,6,0.034832803,0.029856688,0.004976115,0,0,0,0.029856688,0,0,0,0.002823697,0,0,0,0.139776329,0,0,0,63.25,12.275,8.875,66.975,14.40666667,21.71833333,7,0,7,0,0.4375,0,0.4375,0,10.20915333,12.02,11.11457667,0,0.407643312,"burn",8.160678786,3.74665341,0.040587872,0.020293936,0.018634319,0.031222112,0.099389522,0.04185868,0.000494323,0.000247161,0.000208188,0.000348822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.061289264,3.70479473,0.04009355,0.020046775,0.018426131,0.030873289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144927344,0.110646369,11.11457666675,11.11457666675
"43","WC19",57,26,"WC",19,"2013",11,185,536,52.90049776,5,8.5,"subxeric-mesic",536,63.870135,-150.206614,NA,NA,0.208902427,11,0,0,0,46,0,0,1,58,46,0.28861465,0.228901274,0.054737261,0,0,0,0.228901274,0,0,0.004976115,3.63543598,0,0,0,13.34645007,0,0,0.011832561,84.7125,9.25,8.5,51.725,19.29333333,NA,2,1,3,146,0.125,0.0625,0.1875,9.125,NA,19.68777778,19.68777778,0.0625,-0.103901274,"burn",1271.525575,278.9755409,6.324047185,3.162023592,1.387510026,2.324796174,337.5013456,17.88032556,1.678593397,0.839296698,0.088929413,0.149002713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,933.4582791,260.773123,4.642638982,2.321319491,1.296978659,2.173109359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5659504,0.322092296,0.002814805,0.001407403,0.001601955,0.002684102,0.208902427,0.168513416,19.6877777766667,19.6877777766667
"44","WC2",58,56,"WC",2,"2013",2,81,463,64.09899026,99,30,"subhygric",463,63.856245,-150.188041,NA,NA,0.089787992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.3125,34.375,30,43.625,8.75,15.21111111,1,0,1,0,0.0625,0,0.0625,0,3.701931111,10.94,7.320965556,0,0.0625,"burn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089787992,0.060371811,5.51144833325,5.51144833325
"45","WC20",59,27,"WC",20,"2013",23,301,518,66.21379522,121,5,"subxeric-mesic",518,63.870414,-150.216834,NA,NA,0.268972814,36,0,0,1,15,0,0,0,52,16,0.258757962,0.079617834,0.179140127,0,0,0.004976115,0.07464172,0,0,0,2.223363088,0,0,0.562785308,2.485772681,0,0,0,24.5,3.85,5,30.625,NA,NA,4,2,6,12,0.25,0.125,0.375,0.75,NA,NA,NA,0.120023885,0.17535828,"burn",351.3184713,84.25267511,1.747314118,0.873657059,0.419038282,0.702105626,147.6010633,20.72615427,0.734107207,0.367053604,0.103083398,0.172717952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3819878,6.131266873,0.180949099,0.09047455,0.030494409,0.051093891,167.3354202,57.39525397,0.832257812,0.416128906,0.285460475,0.478293783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268972814,0.227103266,NA,NA
"46","WC21",60,28,"WC",21,"2013",4,196,512,60.00996251,16,6.5,"subxeric-mesic",512,63.873845,-150.175513,NA,NA,0.146311097,0,0,0,0,41,0,0,0,41,41,0.204020701,0.204020701,0,0,0,0,0.204020701,0,0,0,0,0,0,0,5.886572523,0,0,0,74.375,14.125,7.125,81.375,16.86666667,19.53333333,20,0,20,1,1.25,0,1.25,0.0625,8.024153333,15.90186441,11.96300887,0,1.045979299,"burn",397.007105,87.2926239,1.974550661,0.987275331,0.434157742,0.727438533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.007105,87.2926239,1.974550661,0.987275331,0.434157742,0.727438533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146311097,0.106885732,14.229788335,14.229788335
"47","WC22",61,29,"WC",22,"2013",7,183,549,56.88182664,3,11.25,"subxeric-mesic",549,63.874115,-150.185864,NA,NA,0.153921446,17,0,0,0,38,0,0,0,55,38,0.273686306,0.189092357,0.084593949,0,0,0,0.189092357,0,0,0,1.221443439,0,0,0,15.17420088,0,0,0,62.75,15.0625,11.25,58.25,15.73333333,NA,0,0,0,222,0,0,0,13.875,NA,15.21083333,15.21083333,0,-0.189092357,"burn",1157.234704,214.5384704,5.755611225,2.877805613,1.067026441,1.787820586,71.35125513,9.4731571,0.354871906,0.177435953,0.047115602,0.078942976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1085.883449,205.0653133,5.400739319,2.70036966,1.01991084,1.708877611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.153921446,0.125994226,15.37333333,15.37333333
"48","WC24",62,30,"WC",24,"2013",13,267,594,60.41643046,87,10.1,"mesic",594,63.874545,-150.2060433,NA,NA,0.23345466,44,0,0,3,2,0,0,0,49,5,0.243829618,0.024880573,0.218949045,0,0,0.014928344,0.009952229,0,0,0,3.708882198,0,0,0.388751768,0.595809863,0,0,0,80.1875,16.25,9.85,109.35,13.52,NA,5,0,5,90,0.3125,0,0.3125,5.625,NA,13.86111111,13.86111111,-0.014928344,0.302547771,"burn",365.7916772,69.23175052,1.819297914,0.909648957,0.344330358,0.576931254,301.7594174,56.83496494,1.500827692,0.750413846,0.282673827,0.473624708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5341606,6.320722343,0.112075681,0.056037841,0.031436683,0.052672686,41.49809922,6.076063238,0.206394541,0.103197271,0.030219849,0.05063386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23345466,0.195503598,13.86111111,13.86111111
"49","WC3",66,32,"WC",3,"2013",1,153,485,62.96196525,27,33.83,"mesic-subhygric",485,63.856515,-150.198212,NA,NA,0.089287974,0,0,0,0,17,0,0,0,17,17,0.084593949,0.084593949,0,0,0,0,0.084593949,0,0,0,0,0,0,0,0.642242777,0,0,0,44.0625,44.0625,35.125,35.125,12.16666667,23.9,10,0,10,0,0.625,0,0.625,0,12.39082,3.962727273,8.176773636,0,0.540406051,"burn",37.47609126,11.45415458,0.186390722,0.093195361,0.056968271,0.095451288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.47609126,11.45415458,0.186390722,0.093195361,0.056968271,0.095451288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089287974,0.050910339,9.8008266675,9.8008266675
